timestamp,ecg,acc,temp,ir,red
1969CC1F56E,7B7,NR,NR,NR,NR
1969CC1F572,82B,NR,NR,NR,NR
1969CC1F575,79B,NR,NR,1DA52,1D9C7
1969CC1F579,754,NR,NR,NR,NR
1969CC1F57C,NR,NR,NR,1DA52,1D9C7
1969CC1F57F,79D,NR,NR,NR,NR
1969CC1F583,84B,NR,NR,NR,NR
1969CC1F586,822,NR,NR,NR,NR
1969CC1F58A,779,NR,NR,1DA52,1D9C7
1969CC1F58D,790,NR,NR,NR,NR
1969CC1F591,7E7,NR,NR,NR,NR
1969CC1F594,842,NR,NR,1DA52,1D9C7
1969CC1F597,7F0,0.98,NR,NR,NR
1969CC1F59B,77F,NR,NR,NR,NR
1969CC1F59E,7B1,NR,NR,1DAB6,1D971
1969CC1F5A2,83B,NR,NR,NR,NR
1969CC1F5A5,7FC,NR,NR,1DAB6,1D971
1969CC1F5AC,775,NR,NR,NR,NR
1969CC1F5AF,757,NR,NR,NR,NR
1969CC1F5B3,829,NR,NR,1DAB6,1D971
1969CC1F5B6,7E0,NR,NR,NR,NR
1969CC1F5BD,750,NR,NR,1DAB6,1D971
1969CC1F5C0,7C3,NR,NR,NR,NR
1969CC1F5C4,832,NR,NR,1DA29,1D9A2
1969CC1F5C7,7FE,NR,NR,NR,NR
1969CC1F5CB,7B0,NR,NR,NR,NR
1969CC1F5CE,757,NR,NR,1DA29,1D9A2
1969CC1F5D2,7DD,NR,NR,NR,NR
1969CC1F5D8,7BD,NR,NR,1DA29,1D9A2
1969CC1F5DC,772,NR,NR,NR,NR
1969CC1F5DF,75E,NR,NR,NR,NR
1969CC1F5E6,829,NR,NR,1DA29,1D9A2
1969CC1F5E9,830,NR,NR,NR,NR
1969CC1F5ED,771,NR,NR,1DA1B,1D9AE
1969CC1F5F0,753,NR,NR,NR,NR
1969CC1F5F4,7D7,NR,NR,NR,NR
1969CC1F5FB,7C3,NR,NR,1DA1B,1D9AE
1969CC1F5FE,77D,NR,NR,NR,NR
1969CC1F602,786,NR,NR,1DA1B,1D9AE
